¿îÇàÀÏÀÚ,È£¼±,¿ª, ÃÑ½ÂÂ÷ , ÃÑÇÏÂ÷ 
20160919,4,56,3361 ,3340 
20160919,4,97,4374 ,4351 
20160919,4,2,3445 ,3366 
20160919,4,39,6510 ,6809 
20160919,4,62,6153 ,5929 
20160919,4,37,9492 ,9345 
20160919,4,89,4818 ,4768 
20160919,4,76,6742 ,6909 
20160919,4,21,5275 ,5332 
20160919,4,95,3947 ,3744 
20160919,4,93,2906 ,2898 
20160919,4,40,5530 ,5622 
20160919,4,13,6104 ,5753 
20160919,4,8,2340 ,2032 
20160919,4,9,5161 ,5297 
20160919,4,54,2587 ,2762 
20160919,4,6,7827 ,7851 
20160919,4,92,1445 ,1826 
20160919,4,86,2278 ,2178 
20160919,4,13,1053 ,1121 
20160919,4,28,2058 ,2029 
20160919,4,36,1314 ,1484 
20160919,4,3,775 ,780 
20160919,4,78,5086 ,5455 
20160919,4,74,3421 ,3358 
20160919,4,6,297 ,266 
20160920,4,82,3453 ,3491 
20160920,4,15,4444 ,4321 
20160920,4,72,3316 ,3298 
20160920,4,17,6716 ,7008 
20160920,4,72,6246 ,6097 
20160920,4,80,9550 ,9413 
20160920,4,59,4990 ,4964 
20160920,4,7,7039 ,7202 
20160920,4,87,5753 ,5822 
20160920,4,18,4129 ,3952 
20160920,4,62,2987 ,2969 
20160920,4,61,5627 ,5660 
20160920,4,89,6270 ,5902 
20160920,4,84,2492 ,2164 
20160920,4,21,5190 ,5285 
20160920,4,83,2671 ,2719 
20160920,4,67,8180 ,8173 
20160920,4,10,1395 ,1871 
20160920,4,68,2355 ,2216 
20160920,4,81,1158 ,1269 
20160920,4,61,2001 ,2005 
20160920,4,18,1604 ,1756 
20160920,4,95,815 ,862 
20160920,4,21,5174 ,5560 
20160920,4,43,3592 ,3538 
20160920,4,88,324 ,274 
20160921,4,35,3431 ,3433 
20160921,4,30,4371 ,4313 
20160921,4,17,3588 ,3498 
20160921,4,37,6687 ,6948 
20160921,4,25,6121 ,6000 
20160921,4,41,9613 ,9639 
20160921,4,75,4961 ,4831 
20160921,4,78,6923 ,7062 
20160921,4,69,5534 ,5647 
20160921,4,79,4005 ,3916 
20160921,4,24,3032 ,2938 
20160921,4,46,5738 ,5840 
20160921,4,92,6348 ,5948 
20160921,4,80,2492 ,2177 
20160921,4,71,5392 ,5539 
20160921,4,38,2685 ,2758 
20160921,4,48,8136 ,8302 
20160921,4,54,1464 ,1849 
20160921,4,35,2330 ,2239 
20160921,4,49,1264 ,1352 
20160921,4,39,1897 ,1933 
20160921,4,23,1587 ,1800 
20160921,4,47,793 ,779 
20160921,4,82,5136 ,5470 
20160921,4,34,3462 ,3536 
20160921,4,77,318 ,305 
20160922,4,34,3387 ,3377 
20160922,4,79,4243 ,4250 
20160922,4,44,3281 ,3174 
20160922,4,96,6644 ,6859 
20160922,4,91,6461 ,6368 
20160922,4,26,9260 ,9422 
20160922,4,97,4819 ,4816 
20160922,4,80,6823 ,6907 
20160922,4,93,5461 ,5460 
20160922,4,76,3880 ,3744 
20160922,4,58,2979 ,2930 
20160922,4,56,5728 ,5661 
20160922,4,82,6385 ,5886 
20160922,4,7,2528 ,2314 
20160922,4,73,5248 ,5303 
20160922,4,75,2844 ,2945 
20160922,4,80,8257 ,8229 
20160922,4,80,1433 ,1866 
