¿îÇàÀÏÀÚ,È£¼±,¿ª, ÃÑ½ÂÂ÷ , ÃÑÇÏÂ÷ 
20160922,4,65,2331 ,2291 
20160922,4,46,1217 ,1353 
20160922,4,44,2093 ,2084 
20160922,4,71,1855 ,1964 
20160922,4,58,823 ,840 
20160922,4,56,5246 ,5577 
20160922,4,83,3504 ,3773 
20160922,4,90,322 ,274 
20160923,4,13,3513 ,3534 
20160923,4,51,4391 ,4312 
20160923,4,5,3327 ,3290 
20160923,4,75,6876 ,7177 
20160923,4,5,6190 ,6001 
20160923,4,71,9517 ,9621 
20160923,4,65,4921 ,4888 
20160923,4,97,6980 ,7068 
20160923,4,75,5476 ,5459 
20160923,4,29,4035 ,3879 
20160923,4,75,3001 ,2942 
20160923,4,45,5470 ,5417 
20160923,4,90,6112 ,5827 
20160923,4,11,2479 ,2207 
20160923,4,38,5164 ,5304 
20160923,4,22,2707 ,2795 
20160923,4,65,7988 ,7992 
20160923,4,95,1534 ,2013 
20160923,4,76,2347 ,2264 
20160923,4,48,1416 ,1494 
20160923,4,64,2103 ,2084 
20160923,4,66,1757 ,1922 
20160923,4,14,814 ,832 
20160923,4,62,5359 ,5703 
20160923,4,61,3519 ,3772 
20160923,4,19,322 ,277 
20160924,4,24,3185 ,3132 
20160924,4,69,4008 ,3885 
20160924,4,2,2795 ,2755 
20160924,4,59,6172 ,6391 
20160924,4,66,5477 ,5328 
20160924,4,7,8539 ,8410 
20160924,4,44,4629 ,4595 
20160924,4,80,6685 ,6619 
20160924,4,23,4984 ,4925 
20160924,4,14,3211 ,2995 
20160924,4,19,2641 ,2643 
20160924,4,98,3628 ,3597 
20160924,4,81,5456 ,5009 
20160924,4,10,2226 ,1951 
20160924,4,75,3976 ,3947 
20160924,4,6,2469 ,2640 
20160924,4,48,7710 ,7840 
20160924,4,49,1230 ,1745 
20160924,4,32,1721 ,1656 
20160924,4,21,1140 ,1357 
20160924,4,67,1730 ,1892 
20160924,4,36,1772 ,1833 
20160924,4,4,748 ,759 
20160924,4,57,4850 ,5114 
20160924,4,39,3619 ,4083 
20160924,4,68,460 ,273 
20160925,4,31,2773 ,2759 
20160925,4,63,3078 ,3054 
20160925,4,24,2622 ,2470 
20160925,4,64,5057 ,5368 
20160925,4,98,4458 ,4249 
20160925,4,0,6511 ,6528 
20160925,4,78,3659 ,3491 
20160925,4,75,5152 ,5056 
20160925,4,15,3881 ,3822 
20160925,4,23,2441 ,2246 
20160925,4,45,1987 ,2049 
20160925,4,13,2351 ,2391 
20160925,4,74,2041 ,2031 
20160925,4,41,1332 ,1285 
20160925,4,77,2234 ,2201 
20160925,4,47,2116 ,2333 
20160925,4,96,2312 ,2238 
20160925,4,49,1009 ,1310 
20160925,4,92,1366 ,1256 
20160925,4,51,794 ,940 
20160925,4,74,1109 ,1123 
20160925,4,22,1247 ,1377 
20160925,4,41,596 ,618 
20160925,4,40,3466 ,3646 
20160925,4,37,2458 ,2439 
20160925,4,23,214 ,200 
